epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.1799795627593994,0.18416516482830048,1.8941456079483032,0.22012577950954437
2,1.901734471321106,0.22495511174201965,1.8510159254074097,0.25484275817871094
3,1.8400757312774658,0.25493717193603516,1.7703620195388794,0.2865408658981323
4,1.787846565246582,0.2776660621166229,1.7397798299789429,0.3013836443424225
5,1.7512929439544678,0.2949371635913849,1.7075670957565308,0.3094339668750763
6,1.7148709297180176,0.3084021508693695,1.6913819313049316,0.31924527883529663
7,1.700682282447815,0.3137163519859314,1.6895053386688232,0.31446540355682373
8,1.6869224309921265,0.31924596428871155,1.6850357055664062,0.32905659079551697
9,1.6684324741363525,0.3247396647930145,1.7117187976837158,0.30742138624191284
10,1.6587318181991577,0.33044883608818054,1.6628329753875732,0.33132076263427734
11,1.6559308767318726,0.3305565416812897,1.6582765579223633,0.3363521993160248
12,1.6467838287353516,0.3333572745323181,1.6452776193618774,0.3318238854408264
13,1.6276367902755737,0.34208258986473083,1.6519432067871094,0.3378616273403168
14,1.620980143547058,0.3467145562171936,1.6621161699295044,0.33056604862213135
15,1.6059341430664062,0.35098743438720703,1.6373469829559326,0.3363521993160248
16,1.6084083318710327,0.3517773747444153,1.668191909790039,0.3381132185459137
17,1.5946937799453735,0.3597486615180969,1.6550488471984863,0.34012579917907715
18,1.5878366231918335,0.3632675111293793,1.6413025856018066,0.3388679325580597
19,1.569875717163086,0.3695152699947357,1.6777175664901733,0.33308175206184387
20,1.5656884908676147,0.3688330352306366,1.6422598361968994,0.3459119498729706
